Fecha,Yantac,Laguna Cochaquillo,Laguna Surasaca
1981-01-31,185.37199999999999,98.181,118.234
1981-02-28,252.913,92.042,226.523
1981-03-31,157.58,198.339,113.867
1981-04-30,15.883999999999999,10.336,15.705
1981-05-31,1.031,0.011,0.211
1981-06-30,0.11,0.001,1.198
1981-07-31,0.157,0.002,0.01
1981-08-31,14.075000000000001,7.336,16.221
1981-09-30,13.177,0.704,4.861
1981-10-31,67.243,43.988,83.02199999999999
1981-11-30,101.018,53.876,103.031
1981-12-31,132.63,85.491,137.548
1982-01-31,131.381,80.72800000000001,120.206
1982-02-28,225.049,124.052,161.295
1982-03-31,88.332,164.87,108.345
1982-04-30,50.923,39.271,58.371
1982-05-31,0.034,0.154,4.01
1982-06-30,0.074,0.047,2.826
1982-07-31,5.93,1.59,3.8499999999999996
1982-08-31,5.195,0.893,6.232
1982-09-30,28.634999999999998,6.394,13.775
1982-10-31,128.073,51.701,84.864
1982-11-30,114.467,51.401,104.515
1982-12-31,70.59,56.074,77.112
1983-01-31,151.507,55.117000000000004,112.831
1983-02-28,75.367,59.804,59.263999999999996
1983-03-31,107.529,148.149,144.871
1983-04-30,57.56,32.576,79.94800000000001
1983-05-31,1.013,3.2880000000000003,3.589
1983-06-30,1.357,0.493,8.705
1983-07-31,0.061,0.002,0.031
1983-08-31,0.054,0.0,2.3089999999999997
1983-09-30,35.129,9.324,25.083000000000002
1983-10-31,96.378,33.987,27.024
1983-11-30,32.787,25.252000000000002,46.895
1983-12-31,187.688,82.529,129.527
1984-01-31,116.774,78.92399999999999,109.631
1984-02-29,297.975,131.15,195.706
1984-03-31,204.401,162.5,165.227
1984-04-30,41.748,27.588,56.607
1984-05-31,20.464000000000002,23.086000000000002,41.09
1984-06-30,10.684,6.788,22.316
1984-07-31,0.8430000000000001,0.036000000000000004,0.191
1984-08-31,2.8009999999999997,0.333,6.1530000000000005
1984-09-30,13.924,3.785,15.076
1984-10-31,112.076,52.938,78.444
1984-11-30,89.399,55.331,98.855
1984-12-31,147.911,76.645,121.348
1985-01-31,60.746,51.287,62.632999999999996
1985-02-28,165.444,101.702,109.48
1985-03-31,129.06,132.654,93.27
1985-04-30,60.863,44.539,66.491
1985-05-31,26.166,18.838,45.059
1985-06-30,3.12,0.563,8.802
1985-07-31,0.5840000000000001,0.27,0.618
1985-08-31,1.16,1.102,6.023
1985-09-30,17.433,12.892999999999999,44.870000000000005
1985-10-31,16.052,20.776999999999997,24.434
1985-11-30,43.278999999999996,26.288,45.941
1985-12-31,110.026,65.554,90.645
1986-01-31,201.516,113.589,133.837
1986-02-28,151.17,102.021,94.159
1986-03-31,159.608,197.935,93.105
1986-04-30,64.302,35.286,67.391
1986-05-31,23.087999999999997,14.266000000000002,32.834
1986-06-30,0.003,0.0,0.034
1986-07-31,3.4890000000000003,0.077,0.109
1986-08-31,7.184,6.989000000000001,13.568999999999999
1986-09-30,3.865,7.609,18.063000000000002
1986-10-31,24.451,17.538,28.648
1986-11-30,61.168,23.79,43.917
1986-12-31,170.297,68.601,95.227
1987-01-31,208.088,96.258,147.199
1987-02-28,144.266,97.438,134.225
1987-03-31,82.009,97.972,91.312
1987-04-30,20.457,21.657,37.184
1987-05-31,5.758,12.749999999999998,25.386
1987-06-30,0.249,0.027,0.148
1987-07-31,1.454,0.044,0.108
1987-08-31,5.327,1.098,1.649
1987-09-30,16.464,15.071000000000002,24.933999999999997
1987-10-31,28.938,24.741,41.747
1987-11-30,78.0,44.853,78.593
1987-12-31,123.086,62.230000000000004,78.838
1988-01-31,185.69899999999998,80.162,135.36599999999999
1988-02-29,157.725,82.92399999999999,100.333
1988-03-31,125.63,79.42,86.548
1988-04-30,100.62,28.25,39.108
1988-05-31,22.673000000000002,16.480999999999998,37.996
1988-06-30,0.008,0.005,0.031
1988-07-31,0.018000000000000002,0.0,0.002
1988-08-31,6.553,0.131,0.783
1988-09-30,40.900999999999996,16.669,23.395
1988-10-31,65.825,33.876000000000005,43.172
1988-11-30,44.306000000000004,32.519999999999996,54.053
1988-12-31,113.353,73.748,93.358
1989-01-31,176.968,109.31700000000001,151.77
1989-02-28,209.109,99.561,130.085
1989-03-31,175.694,239.925,198.976
1989-04-30,43.424,36.753,55.142
1989-05-31,9.378,9.777000000000001,19.913999999999998
1989-06-30,4.196,1.279,5.678
1989-07-31,7.579,0.51,2.271
1989-08-31,15.66,2.064,8.889000000000001
1989-09-30,29.655,16.927,28.525
1989-10-31,58.247,34.463,57.379
1989-11-30,11.747,23.204,40.301
1989-12-31,8.158,6.226,30.759999999999998
1990-01-31,129.755,74.211,105.244
1990-02-28,46.722,61.349,87.623
1990-03-31,58.18,102.389,100.671
1990-04-30,23.049,16.624,26.818
1990-05-31,16.99,12.824,27.128
1990-06-30,6.962,1.26,6.794999999999999
1990-07-31,0.392,0.007,0.063
1990-08-31,4.266,0.051000000000000004,3.9819999999999998
1990-09-30,4.418,8.548,12.141
1990-10-31,191.139,69.473,109.61
1990-11-30,126.06,56.205,80.59700000000001
1990-12-31,69.417,70.815,100.867
1991-01-31,66.535,62.466,86.759
1991-02-28,88.125,79.079,118.624
1991-03-31,111.035,144.47,138.843
1991-04-30,24.341,22.515,44.564
1991-05-31,23.319,11.214,19.273
1991-06-30,0.321,0.003,0.153
1991-07-31,1.369,0.07,2.203
1991-08-31,0.013000000000000001,0.0,0.264
1991-09-30,27.194,7.093999999999999,9.786
1991-10-31,97.99,24.625,32.096
1991-11-30,39.551,29.851,47.618
1991-12-31,66.312,46.028,57.198
1992-01-31,42.939,39.424,70.816
1992-02-29,59.792,57.648,76.331
1992-03-31,106.156,97.342,91.149
1992-04-30,41.49,24.274,49.504999999999995
1992-05-31,1.183,1.667,16.714
1992-06-30,1.135,2.537,5.162
1992-07-31,1.051,0.027,0.139
1992-08-31,1.992,0.5710000000000001,0.757
1992-09-30,12.719,8.354999999999999,17.645000000000003
1992-10-31,60.562,31.994,43.528
1992-11-30,8.604000000000001,18.845,36.318
1992-12-31,44.611,30.051000000000002,39.75
1993-01-31,133.222,65.329,91.732
1993-02-28,136.691,84.799,117.144
1993-03-31,155.79399999999998,151.263,147.537
1993-04-30,66.549,54.883,78.851
1993-05-31,17.003,11.639,27.16
1993-06-30,0.032,0.0,1.9469999999999998
1993-07-31,2.642,0.301,1.2870000000000001
1993-08-31,1.9,0.385,4.081
1993-09-30,16.745,17.795,31.624
1993-10-31,90.224,49.418,86.248
1993-11-30,110.699,57.493,96.007
1993-12-31,192.609,97.572,146.237
1994-01-31,191.907,113.215,202.427
1994-02-28,136.102,104.114,142.703
1994-03-31,162.732,150.419,137.245
1994-04-30,64.168,54.559,91.993
1994-05-31,35.155,24.132,59.333
1994-06-30,3.605,0.109,0.34
1994-07-31,0.7919999999999999,0.398,0.08
1994-08-31,1.5030000000000001,0.047,0.446
1994-09-30,46.963,13.116000000000001,26.134999999999998
1994-10-31,30.332,9.828,33.307
1994-11-30,77.62400000000001,35.956,60.966
1994-12-31,109.155,59.486999999999995,77.077
1995-01-31,137.086,63.579,98.38900000000001
1995-02-28,94.739,60.254,83.705
1995-03-31,144.244,157.295,143.222
1995-04-30,58.25,33.729,67.777
1995-05-31,16.065,19.272,43.132
1995-06-30,0.9840000000000001,0.149,0.7420000000000001
1995-07-31,1.474,0.092,0.092
1995-08-31,3.5799999999999996,0.549,1.121
1995-09-30,12.356,9.618,19.535
1995-10-31,76.479,37.575,57.177
1995-11-30,58.158,44.429,72.465
1995-12-31,151.413,58.06,83.716
1996-01-31,127.897,103.222,139.091
1996-02-29,164.936,83.269,118.499
1996-03-31,136.091,138.438,135.463
1996-04-30,61.755,37.255,75.56
1996-05-31,14.265,4.719,8.411
1996-06-30,0.096,0.016,0.124
1996-07-31,0.049,0.0,0.009000000000000001
1996-08-31,5.998,0.652,2.637
1996-09-30,25.382,2.331,5.854
1996-10-31,55.3,29.996000000000002,54.298
1996-11-30,46.024,22.355,48.828
1996-12-31,88.541,54.826,82.51
1997-01-31,121.142,76.398,113.752
1997-02-28,205.462,88.55799999999999,127.694
1997-03-31,37.932,57.279,65.766
1997-04-30,21.049,21.889000000000003,40.882999999999996
1997-05-31,8.45,0.121,2.329
1997-06-30,0.503,0.014,2.721
1997-07-31,0.709,0.0,0.01
1997-08-31,4.046,0.161,0.744
1997-09-30,44.083999999999996,10.756,20.081
1997-10-31,55.108000000000004,24.401,50.583
1997-11-30,92.78099999999999,35.687000000000005,70.53399999999999
1997-12-31,141.487,81.191,115.914
1998-01-31,192.108,94.318,140.065
1998-02-28,144.041,103.968,135.008
1998-03-31,135.508,133.14000000000001,130.609
1998-04-30,34.730000000000004,24.863,42.7
1998-05-31,0.551,0.306,16.899
1998-06-30,0.767,0.539,0.976
1998-07-31,0.013000000000000001,0.0,0.0
1998-08-31,5.618,0.044,0.621
1998-09-30,34.254,14.870000000000001,22.636
1998-10-31,95.98,36.801,73.279
1998-11-30,37.789,37.92,54.028999999999996
1998-12-31,61.028000000000006,64.955,79.285
1999-01-31,145.747,91.847,126.68599999999999
1999-02-28,271.239,114.268,159.475
1999-03-31,121.841,225.882,167.733
1999-04-30,60.528,40.943999999999996,70.873
1999-05-31,26.451,25.837999999999997,57.108999999999995
1999-06-30,6.682,0.663,1.097
1999-07-31,2.758,0.032,0.092
1999-08-31,7.252999999999999,0.009000000000000001,0.251
1999-09-30,52.919,26.572000000000003,52.103
1999-10-31,91.18599999999999,39.054,71.755
1999-11-30,69.293,44.841,74.302
1999-12-31,151.368,84.094,99.004
2000-01-31,219.821,80.10300000000001,123.82000000000001
2000-02-29,233.686,97.703,136.55
2000-03-31,178.321,180.695,158.611
2000-04-30,38.334,45.752,74.09400000000001
2000-05-31,29.863,23.214,52.355
2000-06-30,0.143,0.056,0.444
2000-07-31,3.7039999999999997,0.071,0.153
2000-08-31,8.317,5.111,11.391
2000-09-30,55.069,20.945,54.821
2000-10-31,95.74600000000001,31.026,63.434999999999995
2000-11-30,42.316,28.153,44.204
2000-12-31,231.415,80.399,117.873
2001-01-31,196.273,116.179,163.228
2001-02-28,132.161,98.36699999999999,127.146
2001-03-31,197.879,152.14000000000001,148.728
2001-04-30,34.486,24.897,46.620999999999995
2001-05-31,8.489,10.85,27.772000000000002
2001-06-30,0.5690000000000001,0.646,4.971
2001-07-31,2.314,0.10200000000000001,0.174
2001-08-31,0.262,0.048,0.423
2001-09-30,60.769,22.758,43.498
2001-10-31,58.78,37.602000000000004,59.973
2001-11-30,111.544,60.018,102.016
2001-12-31,64.43900000000001,57.325,79.652
2002-01-31,98.426,55.989000000000004,101.277
2002-02-28,137.113,99.74499999999999,128.357
2002-03-31,158.685,127.317,129.484
2002-04-30,73.637,40.185,70.643
2002-05-31,10.485,9.562,30.95
2002-06-30,1.8079999999999998,3.0260000000000002,4.364999999999999
2002-07-31,5.6049999999999995,0.277,0.414
2002-08-31,2.9930000000000003,1.15,2.119
2002-09-30,39.818,19.337,30.689
2002-10-31,143.351,50.444,83.434
2002-11-30,103.521,44.647,78.975
2002-12-31,117.202,73.08,102.408
2003-01-31,112.514,82.318,113.723
2003-02-28,151.49,83.091,115.399
2003-03-31,169.337,152.18,146.733
2003-04-30,44.385,27.243,58.583999999999996
2003-05-31,5.93,0.557,16.078
2003-06-30,0.625,0.067,0.334
2003-07-31,0.373,0.0,0.011
2003-08-31,3.943,0.133,1.089
2003-09-30,2.245,3.915,9.893
2003-10-31,38.303,17.740000000000002,31.11
2003-11-30,26.486,28.92,40.772
2003-12-31,151.168,89.183,116.063
2004-01-31,31.676000000000002,46.92400000000001,70.372
2004-02-29,149.688,91.58800000000001,116.051
2004-03-31,82.855,113.75,104.514
2004-04-30,42.97,25.159,51.792
2004-05-31,3.274,2.786,4.484
2004-06-30,2.682,1.8379999999999999,3.108
2004-07-31,3.7190000000000003,0.48900000000000005,2.102
2004-08-31,1.728,0.106,0.852
2004-09-30,45.979,17.689,31.747
2004-10-31,110.082,51.074,80.89399999999999
2004-11-30,94.851,46.004,85.618
2004-12-31,174.809,90.441,111.571
2005-01-31,121.124,72.675,110.818
2005-02-28,83.68299999999999,69.678,95.062
2005-03-31,118.44,136.797,135.325
2005-04-30,35.291,18.96,31.941000000000003
2005-05-31,1.9709999999999999,2.726,25.226
2005-06-30,0.022,0.001,0.077
2005-07-31,0.044,0.021,0.056
2005-08-31,1.218,1.31,9.023
2005-09-30,1.999,1.416,14.34
2005-10-31,38.018,32.789,65.127
2005-11-30,30.714000000000002,29.979,49.425
2005-12-31,113.118,80.16,102.857
2006-01-31,131.857,80.697,118.377
2006-02-28,128.407,113.965,143.404
2006-03-31,199.895,140.885,143.022
2006-04-30,72.119,48.674,79.314
2006-05-31,0.332,0.39,14.516
2006-06-30,4.309,5.423,10.666
2006-07-31,0.242,0.035,0.046
2006-08-31,1.666,1.448,3.403
2006-09-30,29.913,14.100999999999999,22.57
2006-10-31,62.301,41.569,62.205000000000005
2006-11-30,36.188,48.613,85.041
2006-12-31,183.686,86.025,106.43599999999999
2007-01-31,153.12,77.657,119.238
2007-02-28,121.11,81.873,104.186
2007-03-31,188.745,145.989,153.099
2007-04-30,74.015,36.357,68.556
2007-05-31,19.851,12.978,44.004
2007-06-30,0.077,0.0,0.074
2007-07-31,0.239,0.14200000000000002,2.586
2007-08-31,3.5140000000000002,0.025,0.806
2007-09-30,18.61,11.365,10.484
2007-10-31,91.293,50.018,73.426
2007-11-30,49.963,37.349,61.982
2007-12-31,84.94,66.381,78.7
2008-01-31,160.889,107.895,154.306
2008-02-29,185.006,104.857,141.03300000000002
2008-03-31,107.19800000000001,130.351,134.156
2008-04-30,40.44,28.117,56.969
2008-05-31,0.84,0.163,2.454
2008-06-30,1.342,1.963,6.822
2008-07-31,0.444,0.0,0.009000000000000001
2008-08-31,9.371,3.753,5.94
2008-09-30,4.412,7.999,16.238
2008-10-31,104.646,38.921,71.35
2008-11-30,55.013,29.791,48.239999999999995
2008-12-31,140.981,69.625,90.462
2009-01-31,177.803,98.789,142.774
2009-02-28,209.35799999999998,112.765,145.779
2009-03-31,153.623,255.113,209.584
2009-04-30,67.795,38.564,82.745
2009-05-31,12.229000000000001,15.038,39.554
2009-06-30,0.187,0.05,0.334
2009-07-31,1.73,0.805,3.1060000000000003
2009-08-31,9.969000000000001,3.106,10.775000000000002
2009-09-30,30.282999999999998,4.723,9.677
2009-10-31,113.84100000000001,36.673,64.497
2009-11-30,148.852,55.511,87.83500000000001
2009-12-31,149.046,89.80199999999999,106.816
2010-01-31,163.875,54.497,117.333
2010-02-28,121.081,37.264,101.358
2010-03-31,147.981,73.792,131.122
2010-04-30,63.135,13.189,47.61
2010-05-31,4.8,0.27,7.2749999999999995
2010-06-30,1.607,2.967,0.913
2010-07-31,0.23099999999999998,0.0,0.009000000000000001
2010-08-31,0.39399999999999996,0.0,0.13
2010-09-30,25.247,10.868,25.942
2010-10-31,57.689,25.735,61.344
2010-11-30,80.32,48.935,84.749
2010-12-31,174.063,98.071,125.928
2011-01-31,194.643,144.009,174.709
2011-02-28,121.216,93.30499999999999,146.851
2011-03-31,157.51,83.58800000000001,189.133
2011-04-30,80.169,55.428000000000004,77.261
2011-05-31,5.841,5.186,18.874
2011-06-30,0.088,0.199,3.646
2011-07-31,4.939,1.253,0.46599999999999997
2011-08-31,3.921,0.901,1.256
2011-09-30,37.187,18.403,17.528
2011-10-31,9.896,22.077,47.635000000000005
2011-11-30,103.877,32.531,84.25
2011-12-31,224.425,91.373,128.63
2012-01-31,114.65299999999999,44.435,108.156
2012-02-29,175.519,133.961,173.177
2012-03-31,153.209,111.428,124.526
2012-04-30,79.479,96.85600000000001,97.52
2012-05-31,12.975,4.795,19.365000000000002
2012-06-30,1.162,3.87,5.8260000000000005
2012-07-31,0.064,0.013000000000000001,0.035
2012-08-31,0.7819999999999999,0.056999999999999995,0.415
2012-09-30,77.80799999999999,18.884999999999998,55.214
2012-10-31,72.429,40.467999999999996,60.471000000000004
2012-11-30,70.667,62.778,79.779
2012-12-31,167.637,103.476,116.064
2013-01-31,148.96099999999998,111.756,107.489
2013-02-28,190.74,95.742,142.807
2013-03-31,171.026,253.459,170.995
2013-04-30,20.906000000000002,16.963,39.356
2013-05-31,23.837999999999997,9.712,42.929
2013-06-30,0.695,0.09,0.982
2013-07-31,1.109,0.081,2.548
2013-08-31,17.23,16.443,12.946
2013-09-30,8.375,4.177,13.696
2013-10-31,123.681,108.144,89.265
2013-11-30,60.415,34.378,61.153
2013-12-31,145.302,40.185,97.733
2014-01-31,162.30599999999998,70.167,128.699
2014-02-28,146.054,57.809,144.665
2014-03-31,175.378,110.06,154.554
2014-04-30,43.118,62.143,57.788999999999994
2014-05-31,26.412,33.312,52.95
2014-06-30,0.5860000000000001,0.048,0.316
2014-07-31,1.2249999999999999,4.024,0.499
2014-08-31,11.41,2.013,10.126999999999999
2014-09-30,23.054,32.013,33.289
2014-10-31,92.544,64.412,63.747
2014-11-30,58.452,38.931,62.269
2014-12-31,168.788,139.722,115.423
2015-01-31,179.212,81.322,115.35
2015-02-28,127.54599999999999,89.445,113.08500000000001
2015-03-31,137.551,145.512,125.972
2015-04-30,53.967,60.457,74.291
2015-05-31,4.807,32.822,40.205999999999996
2015-06-30,3.527,1.976,4.042
2015-07-31,0.571,0.012,1.131
2015-08-31,11.86,8.968,11.635000000000002
2015-09-30,23.755,17.622,14.292
2015-10-31,49.614,13.741999999999999,43.672
2015-11-30,82.8,23.122000000000003,62.513
2015-12-31,132.469,76.432,89.582
2016-01-31,47.943,41.274,49.004
2016-02-29,203.845,86.459,134.659
2016-03-31,92.22200000000001,36.336999999999996,126.805
2016-04-30,60.634,35.601,65.224
2016-05-31,6.52,1.621,9.412
2016-06-30,1.485,0.883,6.686
2016-07-31,1.5310000000000001,0.102,4.130999999999999
2016-08-31,0.442,0.244,3.9469999999999996
2016-09-30,39.021,23.654,45.927
2016-10-31,24.485,38.659,50.283
2016-11-30,1.0110000000000001,0.674,4.755
2016-12-31,110.25,35.354,109.944
